,verb,"NP V that S{first, past}","NP V that S{third, past}","NP V that S{first, present}","NP V that S{third, present}","NP be V that S{first, past}","NP be V that S{third, past}","NP be V that S{first, present}","NP be V that S{third, present}","NP be V to VP[+eventive]{first, past}","NP be V to VP[+eventive]{third, past}","NP be V to VP[+eventive]{first, present}","NP be V to VP[+eventive]{third, present}","NP V to VP[+eventive]{first, past}","NP V to VP[+eventive]{third, past}","NP V to VP[+eventive]{first, present}","NP V to VP[+eventive]{third, present}","NP V to VP[-eventive]{first, past}","NP V to VP[-eventive]{third, past}","NP V to VP[-eventive]{first, present}","NP V to VP[-eventive]{third, present}","NP be V to VP[-eventive]{first, past}","NP be V to VP[-eventive]{third, past}","NP be V to VP[-eventive]{first, present}","NP be V to VP[-eventive]{third, present}",tense: past,tense: present,subject: first,subject: third,total
877,tweet,0.297,0.297,0.297,0.297,0.321,0.321,0.321,0.321,0.3549999999999999,0.3549999999999999,0.3549999999999999,0.3549999999999999,0.22200000000000003,0.22200000000000003,0.22200000000000003,0.22200000000000003,0.382,0.382,0.382,0.382,0,0,0,0,0.28070000000000006,0.31174999999999997,0.25542857142857145,0.3237142857142858,0.2895714285714286
878,type,0.244,0.244,0.244,0.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2914999999999999,0,0.33899999999999997,0.244,0.2914999999999999
879,uncover,0.36900000000000005,0.36900000000000005,0.36900000000000005,0.36900000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0.374,0.374,0.374,0.32975000000000004,0.36049999999999993,0.316,0.37425,0.345125
880,underestimate,0.275,0.275,0.275,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0.40800000000000003,0.40800000000000003,0.40800000000000003,0.40800000000000003,0,0,0,0,0.38325,0.36,0.376,0.37500000000000006,0.3755
881,underline,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.39999999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35350000000000004,0.35400000000000004,0.33899999999999997,0.3685,0.35375
882,underscore,0.20599999999999996,0.20599999999999996,0.20599999999999996,0.20599999999999996,0,0,0,0,0.38299999999999995,0.38299999999999995,0.38299999999999995,0.38299999999999995,0,0,0,0,0,0,0,0,0,0,0,0,0.302,0.45149999999999996,0.367,0.33666666666666667,0.3518333333333334
883,understand,0.47300000000000003,0.47300000000000003,0.47300000000000003,0.47300000000000003,0,0,0,0,0.42699999999999994,0.42699999999999994,0.42699999999999994,0.42699999999999994,0.383,0.383,0.383,0.383,0,0,0,0,0.442,0.442,0.442,0.442,0.42575,0.42625,0.400875,0.45112499999999994,0.426
884,undertake,0,0,0,0,0,0,0,0,0.20299999999999999,0.20299999999999999,0.20299999999999999,0.20299999999999999,0.58,0.58,0.58,0.58,0.38,0.38,0.38,0.38,0,0,0,0,0.3469999999999999,0,0.3063333333333333,0.38766666666666666,0.3469999999999999
885,unnerve,0,0,0,0,0.418,0.418,0.418,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0.192,0.192,0.192,0.192,0.25025,0.3085,0.28724999999999995,0.27149999999999996,0.27937500000000004
886,unsettle,0,0,0,0,0.402,0.402,0.402,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.231,0.231,0.231,0.24675000000000002,0.4365,0.29233333333333333,0.32766666666666666,0.31
887,update,0.289,0.289,0.289,0.289,0.40499999999999997,0.40499999999999997,0.40499999999999997,0.40499999999999997,0.316,0.316,0.316,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0.359,0.30419999999999997,0.349,0.32659999999999995
888,uphold,0.4709999999999999,0.4709999999999999,0.4709999999999999,0.4709999999999999,0,0,0,0,0.4699999999999999,0.4699999999999999,0.4699999999999999,0.4699999999999999,0.48900000000000005,0.48900000000000005,0.48900000000000005,0.48900000000000005,0,0,0,0,0,0,0,0,0.413,0.40650000000000003,0.3435,0.47924999999999995,0.41137499999999994
889,upset,0,0,0,0,0.40599999999999997,0.40599999999999997,0.40599999999999997,0.40599999999999997,0.272,0.272,0.272,0.272,0,0,0,0,0,0,0,0,0.43499999999999994,0.43499999999999994,0.43499999999999994,0.43499999999999994,0.38083333333333336,0.41200000000000003,0.4195999999999999,0.36699999999999994,0.3933
890,urge,0.3430000000000001,0.3430000000000001,0.3430000000000001,0.3430000000000001,0,0,0,0,0,0,0,0,0.308,0.308,0.308,0.308,0,0,0,0,0.31500000000000006,0.31500000000000006,0.31500000000000006,0.31500000000000006,0.32633333333333336,0.26599999999999996,0.31425,0.30825,0.31124999999999997
891,use,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.73,0.73,0.73,0.711,0.711,0.711,0.711,0,0,0,0,0.66225,0.5295,0.5923333333333333,0.6436666666666667,0.618
892,utter,0.384,0.384,0.384,0.384,0,0,0,0,0,0,0,0,0,0,0,0,0.271,0.271,0.271,0.271,0,0,0,0,0.33475,0.36774999999999997,0.32925,0.37324999999999997,0.35125
893,venture,0.21000000000000002,0.21000000000000002,0.21000000000000002,0.21000000000000002,0,0,0,0,0,0,0,0,0.374,0.374,0.374,0.374,0.316,0.316,0.316,0.316,0,0,0,0,0.3225,0.5033333333333333,0.41316666666666674,0.4126666666666666,0.41291666666666665
894,verify,0.44800000000000006,0.44800000000000006,0.44800000000000006,0.44800000000000006,0,0,0,0,0.438,0.438,0.438,0.438,0,0,0,0,0,0,0,0,0.48200000000000004,0.48200000000000004,0.48200000000000004,0.48200000000000004,0.41316666666666674,0.3835,0.3676,0.43499999999999994,0.40130000000000005
895,vex,0.35100000000000003,0.35100000000000003,0.35100000000000003,0.35100000000000003,0.317,0.317,0.317,0.317,0.418,0.418,0.418,0.418,0,0,0,0,0,0,0,0,0.32599999999999996,0.32599999999999996,0.32599999999999996,0.32599999999999996,0.312125,0.3701666666666666,0.29371428571428565,0.3802857142857143,0.33699999999999997
896,videotape,0.18000000000000002,0.18000000000000002,0.18000000000000002,0.18000000000000002,0,0,0,0,0.213,0.213,0.213,0.213,0,0,0,0,0,0,0,0,0,0,0,0,0.23375000000000004,0.27799999999999997,0.25833333333333336,0.23866666666666667,0.24849999999999997
897,view,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595,0.595,0.595,0.595,0.56875,0.5814999999999999,0.5433333333333333,0.6026666666666667,0.573
898,visualize,0.324,0.324,0.324,0.324,0,0,0,0,0,0,0,0,0,0,0,0,0.519,0.519,0.519,0.519,0.503,0.503,0.503,0.503,0.4193333333333333,0.33599999999999997,0.37575,0.42125,0.3985
899,voice,0.30299999999999994,0.30299999999999994,0.30299999999999994,0.30299999999999994,0,0,0,0,0.5269999999999999,0.5269999999999999,0.5269999999999999,0.5269999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.398,0.42350000000000004,0.42000000000000004,0.3929999999999999,0.40650000000000003
900,volunteer,0.266,0.266,0.266,0.266,0,0,0,0,0.31000000000000005,0.31000000000000005,0.31000000000000005,0.31000000000000005,0.271,0.271,0.271,0.271,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.44000000000000006,0,0,0,0,0.339375,0.366625,0.371875,0.334125,0.35300000000000004
901,vote,0.49099999999999994,0.49099999999999994,0.49099999999999994,0.49099999999999994,0,0,0,0,0.469,0.469,0.469,0.469,0.6079999999999999,0.6079999999999999,0.6079999999999999,0.6079999999999999,0.4149999999999999,0.4149999999999999,0.4149999999999999,0.4149999999999999,0.41600000000000004,0.41600000000000004,0.41600000000000004,0.41600000000000004,0.4725000000000001,0.43599999999999994,0.4833333333333333,0.4292222222222222,0.4562777777777779
902,vow,0.497,0.497,0.497,0.497,0,0,0,0,0,0,0,0,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.496,0.496,0.496,0.496,0,0,0,0,0.42200000000000004,0.32933333333333337,0.33366666666666667,0.41766666666666663,0.37566666666666665
903,wager,0.30300000000000005,0.30300000000000005,0.30300000000000005,0.30300000000000005,0,0,0,0,0,0,0,0,0.413,0.413,0.413,0.413,0.39,0.39,0.39,0.39,0.4130000000000001,0.4130000000000001,0.4130000000000001,0.4130000000000001,0.4095,0.34816666666666674,0.40571428571428575,0.3607142857142857,0.38321428571428573
904,wallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21200000000000005,0.21200000000000005,0.21200000000000005,0.21200000000000005,0,0,0,0,0.2085,0,0.205,0.21200000000000005,0.2085
905,want,0,0,0,0,0,0,0,0,0.49800000000000005,0.49800000000000005,0.49800000000000005,0.49800000000000005,0.727,0.727,0.727,0.727,0.641,0.641,0.641,0.641,0.51,0.51,0.51,0.51,0.570125,0.7077500000000001,0.5634999999999999,0.6684999999999999,0.616
906,warn,0.319,0.319,0.319,0.319,0.4499999999999999,0.4499999999999999,0.4499999999999999,0.4499999999999999,0.46399999999999997,0.46399999999999997,0.46399999999999997,0.46399999999999997,0,0,0,0,0,0,0,0,0.233,0.233,0.233,0.233,0.26125,0.295625,0.229875,0.327,0.2784375
907,warrant,0.433,0.433,0.433,0.433,0,0,0,0,0,0,0,0,0,0,0,0,0.363,0.363,0.363,0.363,0.511,0.511,0.511,0.511,0.4136666666666667,0.44099999999999995,0.3986666666666666,0.4559999999999999,0.42733333333333334
908,watch,0.313,0.313,0.313,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0,0.43500000000000005,0.313,0.374
909,weep,0.43499999999999994,0.43499999999999994,0.43499999999999994,0.43499999999999994,0,0,0,0,0,0,0,0,0.181,0.181,0.181,0.181,0,0,0,0,0,0,0,0,0.28375,0.2625,0.22733333333333333,0.32599999999999996,0.2766666666666666
910,welcome,0.604,0.604,0.604,0.604,0,0,0,0,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.34199999999999997,0.394,0.394,0.394,0.394,0,0,0,0,0.19799999999999998,0.19799999999999998,0.19799999999999998,0.19799999999999998,0.387,0.4081666666666666,0.39499999999999996,0.39714285714285713,0.3960714285714286
911,wheeze,0.20799999999999996,0.20799999999999996,0.20799999999999996,0.20799999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0.306,0.20799999999999996,0.257
912,whimper,0.246,0.246,0.246,0.246,0,0,0,0,0,0,0,0,0.45000000000000007,0.45000000000000007,0.45000000000000007,0.45000000000000007,0.24299999999999997,0.24299999999999997,0.24299999999999997,0.24299999999999997,0,0,0,0,0.2901666666666667,0.26825,0.2544,0.3084,0.2814
913,whine,0.139,0.139,0.139,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18250000000000002,0.1525,0.20050000000000004,0.1345,0.1675
914,whisper,0.135,0.135,0.135,0.135,0,0,0,0,0.21500000000000002,0.21500000000000002,0.21500000000000002,0.21500000000000002,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.42000000000000004,0.297,0.297,0.297,0.297,0,0,0,0,0.273,0.25325000000000003,0.25083333333333335,0.28200000000000003,0.26641666666666663
915,will,0.183,0.183,0.183,0.183,0,0,0,0,0.261,0.261,0.261,0.261,0.583,0.583,0.583,0.583,0.442,0.442,0.442,0.442,0.346,0.346,0.346,0.346,0.4077000000000001,0.392,0.44833333333333336,0.36183333333333334,0.40508333333333335
916,wish,0.5,0.5,0.5,0.5,0,0,0,0,0.681,0.681,0.681,0.681,0.5640000000000001,0.5640000000000001,0.5640000000000001,0.5640000000000001,0.679,0.679,0.679,0.679,0,0,0,0,0.5663750000000001,0.6780000000000002,0.5635714285714285,0.6648571428571427,0.6142142857142857
917,witness,0.5519999999999999,0.5519999999999999,0.5519999999999999,0.5519999999999999,0,0,0,0,0.265,0.265,0.265,0.265,0,0,0,0,0,0,0,0,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.38700000000000007,0.3454999999999999,0.33425000000000005,0.41899999999999993,0.376625
918,wonder,0.40800000000000003,0.40800000000000003,0.40800000000000003,0.40800000000000003,0,0,0,0,0,0,0,0,0.31599999999999995,0.31599999999999995,0.31599999999999995,0.31599999999999995,0,0,0,0,0,0,0,0,0.2765,0.3515,0.24533333333333335,0.35766666666666663,0.30150000000000005
919,worry,0.46900000000000003,0.46900000000000003,0.46900000000000003,0.46900000000000003,0.10800000000000001,0.10800000000000001,0.10800000000000001,0.10800000000000001,0.33399999999999996,0.33399999999999996,0.33399999999999996,0.33399999999999996,0.248,0.248,0.248,0.248,0,0,0,0,0.14700000000000002,0.14700000000000002,0.14700000000000002,0.14700000000000002,0.2994,0.31316666666666665,0.335,0.274125,0.3045625
